t,L_1,L_2,L_3
4315.859336137772,17.92,16.67,17.92
4316.861186265945,17.92,17.08,17.92
4317.862421512604,17.92,17.08,17.92
4318.86496591568,17.92,17.08,17.92
4319.866163492203,17.92,17.08,17.92
4320.868772983551,17.92,16.67,17.92
4321.869051933289,17.5,16.67,17.5
4322.87180685997,17.5,16.67,17.5
4323.872583389282,17.5,16.67,17.5
4324.875356912613,17.5,16.67,17.5
4325.876378774643,17.5,16.67,17.5
4326.878394842148,17.5,16.67,17.5
4327.879768133163,17.5,16.67,17.5
4328.882184743881,17.5,16.67,17.5
4329.883528470993,17.5,16.67,17.5
4330.885844707489,17.5,16.67,17.5
4331.886571645737,17.5,16.67,17.5
4332.888506412506,17.5,17.5,17.5
4333.89031791687,17.5,16.67,17.5
4334.892924547195,16.67,17.08,17.08
4335.893794536591,17.5,17.5,17.5
4336.895863771439,16.67,17.08,17.08
4337.897595643997,16.67,17.08,17.08
4338.89923787117,17.08,17.08,17.08
4339.900915145874,17.08,17.08,17.08
4340.902825832367,17.08,17.08,17.08
4341.904181718826,17.08,17.08,17.08
4342.905994653702,17.08,17.08,17.08
4343.907577514648,17.08,17.08,17.08
4344.909978866577,17.08,16.67,17.08
4345.911834716797,17.08,16.67,17.08
4346.914059877396,16.67,16.67,16.67
4347.916233539581,16.67,16.67,16.67
4348.918612718582,16.67,16.67,16.67
4349.92092871666,16.67,16.67,16.67
4350.922553539276,16.67,16.67,16.67
4351.9253306388855,16.67,16.67,16.67
4352.927620172501,16.67,16.67,16.67
4353.92958521843,16.67,16.67,16.67
4354.931813240051,16.67,16.67,16.67
4355.934066534042,16.67,16.67,16.67
4356.936929225922,16.67,16.67,16.67
4357.939209461212,16.67,16.67,16.67
4358.939956903458,16.67,16.67,16.67
4359.942624807358,16.67,16.67,16.67
4360.943946838379,16.67,16.67,16.67
4361.9461307525635,16.67,16.67,16.67
4362.947399139404,16.67,16.67,16.67
4363.9494886398315,16.67,16.67,16.67
4364.950864076614,16.67,16.67,16.67
4365.952366352081,16.67,16.67,16.67
4366.954352855682,16.67,16.67,16.67
4367.956027507782,16.67,16.67,16.67
4368.957070112228,16.67,16.67,16.67
4369.95959186554,16.67,16.67,16.67
4370.960811138153,16.67,16.67,16.67
4371.963239908218,16.67,16.67,16.67
4372.963705778122,16.67,16.67,16.67
4373.966797351837,16.67,16.67,16.67
4374.967745542526,16.67,16.67,16.67
4375.969925880432,16.67,16.67,16.67
4376.97145986557,17.08,17.08,17.08
4377.973055362701,17.08,17.08,17.08
4378.974659919739,17.08,17.08,17.08
4379.97714138031,17.08,17.08,17.08
4380.978323459625,17.08,17.08,17.08
4381.980037212372,16.67,17.08,17.08
4382.981973171234,16.67,17.08,17.08
4383.9840931892395,16.67,17.08,17.08
4384.984750986099,16.67,17.08,17.08
4385.987333774567,17.5,17.5,17.5
4386.9894461631775,17.5,16.67,17.5
4387.991958618164,17.5,16.67,17.5
4388.994078636169,17.5,16.67,17.5
4389.9961013793945,17.5,16.67,17.5
4390.998427391052,17.5,16.67,17.5
4392.001042604446,17.5,16.67,17.5
4393.003108739853,17.92,16.67,17.92
4394.004737377167,17.92,17.08,17.92
4395.007333993912,17.92,17.08,17.92
4396.009389162064,17.92,17.08,17.92
4397.011997461319,17.92,17.08,17.92
4398.014429569244,16.67,17.08,17.92
4399.016387224197,17.92,17.08,17.92
4400.017758846283,16.67,17.08,17.92
4401.020064592361,16.67,17.08,17.92
4402.020967721939,18.33,18.33,18.33
4403.023664712906,16.67,17.08,17.92
4404.024293899536,16.67,17.08,17.92
4405.027096033096,17.92,17.08,17.92
4406.0280339717865,17.92,17.08,17.92
4407.03017616272,17.92,17.08,17.92
4408.031540632248,17.92,17.08,17.92
4409.033814907074,17.92,17.08,17.92
4410.03459239006,17.92,17.08,17.92
4411.037384748459,17.92,17.08,17.92
4412.037799119949,17.92,17.08,17.92
4413.040984153748,17.92,16.67,17.92
4414.041689872742,17.92,16.67,17.92
4415.044153928757,17.92,16.67,17.92
4416.045021772385,17.5,16.67,17.5
4417.047091960907,17.5,16.67,17.5
4418.048738241196,17.5,16.67,17.5
4419.050533056259,17.5,16.67,17.5
4420.0524344444275,17.5,16.67,17.5
4421.054030656815,17.5,16.67,17.5
4422.055515766144,17.5,16.67,17.5
4423.057771682739,17.5,16.67,17.5
4424.0590081214905,17.5,16.67,17.5
4425.061665534973,17.5,17.5,17.5
4426.062467098236,17.5,17.5,17.5
4427.0643055438995,16.67,17.08,17.08
4428.067297697067,16.67,17.08,17.08
4429.069504737854,16.67,17.08,17.08
4430.071280479431,17.08,17.08,17.08
4431.074108123779,17.08,17.08,17.08
4432.075694561005,17.08,17.08,17.08
4433.078106641769,17.08,17.08,17.08
4434.080083847046,17.08,17.08,17.08
4435.083187580109,17.08,17.08,17.08
4436.08479142189,17.08,17.08,17.08
4437.087707042694,17.08,17.08,17.08
4438.08992266655,17.08,17.08,17.08
4439.091803073883,17.08,17.08,17.08
4440.093617677689,17.08,17.08,17.08
4441.095335960388,17.08,17.08,17.08
4442.097323656082,17.08,17.08,17.08
4443.09877371788,17.08,17.08,17.08
4444.100273609161,16.67,17.08,17.08
4445.1019587516785,16.67,17.08,17.08
4446.104280233383,16.67,17.08,17.08
4447.1057732105255,16.67,17.08,17.08
4448.107600927353,16.67,17.08,17.08
4449.108988285065,16.67,17.08,17.08
4450.111455917358,16.67,17.08,17.08
4451.112313985825,17.5,17.5,17.5
4452.114490270615,17.5,16.67,17.5
4453.116273641586,17.5,16.67,17.5
4454.118117809296,17.5,16.67,17.5
4455.11936044693,17.5,16.67,17.5
4456.121977090836,17.5,16.67,17.5
4457.122772216797,17.5,16.67,17.5
4458.125433683395,17.5,16.67,17.5
4459.126681566238,17.5,16.67,17.5
4460.128768920898,17.92,17.08,17.92
4461.1301465034485,17.92,17.08,17.92
4462.131745100021,17.92,17.08,17.92
4463.132718324661,16.67,17.08,17.92
4464.13507437706,16.67,17.08,17.92
4465.13649559021,16.67,17.08,17.92
4466.138700723648,16.67,17.08,17.92
4467.139838695526,16.67,17.08,17.92
4468.142539262772,18.33,18.33,18.33
4469.144403219223,18.33,18.33,18.33
4470.146698236465,18.33,18.33,18.33
4471.149309158325,18.33,18.33,18.33
4472.150872707367,18.33,18.33,18.33
4473.153495311737,18.33,18.33,18.33
4474.15626001358,18.33,18.33,18.33
4475.1583416461945,18.33,18.33,18.33
4476.159852027893,18.33,18.33,18.33
4477.162630558014,18.75,18.33,18.75
4478.164964199066,18.33,18.33,18.33
4479.166961669922,18.75,18.75,18.75
4480.1692943573,18.75,18.75,18.75
4481.17201256752,18.75,18.75,18.75
4482.172667264938,18.33,18.75,18.75
4483.174790143967,18.33,18.75,18.75
4484.1759696006775,18.33,18.75,18.75
4485.178622245789,18.33,18.75,18.75
4486.179589748383,18.33,18.75,18.75
4487.181406021118,18.33,18.75,18.75
4488.182602882385,18.33,18.75,18.75
4489.185780286789,18.33,18.75,18.75
4490.186724424362,18.33,18.75,18.75
4491.188705205917,18.33,18.75,18.75
4492.190367460251,18.33,18.75,18.75
4493.192057847977,18.33,18.75,18.75
4494.193770170212,18.33,18.75,18.75
4495.1959064006805,18.33,18.75,18.75
4496.19694519043,18.33,18.75,18.75
4497.19898891449,18.33,18.75,18.75
